Nome de uma definição de BAdI;Ponto de ampliação;Descrição;
/ACCGO/BR_CAS_BADI_SETTLEMENT;/ACCGO/CMN_ES_BR_STL;BAdI para liquidação Brasil;
/ACCGO/BR_OE_BADI_MVTYP;/ACCGO/CMN_ES_BR_OE;Tipos de movimento FO brasileiros;
/ACCGO/BR_ROYALTIES_BADI;/ACCGO/BR_ES_ROYALTIES;Definição de BAdI para cálculo de royalties na localização d;
/ACCGO/BR_STL_NF_BADI;/ACCGO/CMN_ES_BR_STL;Definição de BAdI para filtragem de documento de aplicação p;
/ACCGO/BR_TRP_BADI_API;/ACCGO/CMN_ES_BR_TRP;Ampliações API de balanceamento;
/ACCGO/BR_TRP_BADI_BATCH;/ACCGO/CMN_ES_BR_TRP;;
/ACCGO/BR_TRP_BADI_BL;/ACCGO/CMN_ES_BR_TRP;Ampliações de balanceamento da lógica de negócios;
/ACCGO/BR_TRP_BADI_MVTYP;/ACCGO/CMN_ES_BR_TRP;Tipos de movimento para balanceamento;
/ACCGO/BR_TRP_BADI_UI;/ACCGO/CMN_ES_BR_TRP;BAdI para ampliações de IU nas aplicações de balanceamento;
/ACCGO/CAK_BADI_CDOTE_SCR;/ACCGO/CAK_ES_CDOTE_SCR;;
/ACCGO/CAK_BADI_CONTR_DOC_STAT;/ACCGO/CAK_ES_CONTRT_DOCUMENT;BAdI: atualizar status de documento de contrato;
/ACCGO/CAK_BADI_CPE_TERM_INPUT;/ACCGO/CAK_ES_CPE_TRMIN_OVRFIL;ACM CAK: BADI para código entrega excessiva entrada condiçõe;
/ACCGO/CAK_BADI_DEFAULT_POPUP;/ACCGO/CAK_ES_FBO;;
/ACCGO/CAK_BADI_FBO_REQUEST;/ACCGO/CAK_ES_FBO;BAdI: enviar solicitação FBO para sistema de monitorização;
/ACCGO/CAK_BADI_FBO_UI;/ACCGO/CAK_ES_FBO;Ampliações para IU FBO;
/ACCGO/CAK_BADI_FETCH_PRICE;/ACCGO/CAK_ES_FETCH_PRICE;BAdI: chamar preço;
/ACCGO/CAK_BADI_INTENDED_PRICE;/ACCGO/CAK_ES_QUOTE;BAdI para predefinir tipo de preço previsto;
/ACCGO/CAK_BADI_LDC_EVENT;/ACCGO/CAK_ES_LDC_EVENT;BADI AMDP para chamar detalhes evento EDC;
/ACCGO/CAK_BADI_MANDATE_TRADER;/ACCGO/CAK_ES_AMEND_PROC;BAdI: configurações obrigatórias para ID de negociante;
/ACCGO/CAK_BADI_PM_ASG_VAL;/ACCGO/CAK_ES_PRICING_METHOD;BADI de validação p/atribuição de métodos de determinação de;
/ACCGO/CAK_BADI_PM_CRPSN;/ACCGO/CAK_ES_PRICING_METHOD;BAdI para atribuir período de cultura;
/ACCGO/CAK_BADI_PM_VALIDATION;/ACCGO/CAK_ES_PRICING_METHOD;BADI de validação p/dados de métodos de determinação de preç;
/ACCGO/CAK_BADI_PRC_MTH;/ACCGO/CAK_ES_PRICING_METHOD;Definição de BADI p/métodos de determinação de preços;
/ACCGO/CAK_BADI_PRICE_PROTECT;/ACCGO/CAK_ES_FBO;;
/ACCGO/CAK_BADI_PRINT_PARAMS;/ACCGO/CAK_ES_OUTPUT_PROC;BAdI para definir parâmetros de impressão para saída;
/ACCGO/CAK_BADI_QUANTITY_TYPES;/ACCGO/CAK_ES_QUANTITY_TYPES;BAdI: adicionar tipos de quantidade;
/ACCGO/CAK_BADI_SNAPSHOTS_BL;/ACCGO/CAK_ES_OUTPUT_PROC;Ampliações a log de aplicação de análise de contrato;
/ACCGO/CAK_BADI_SNAPSHOTS_UI;/ACCGO/CAK_ES_OUTPUT_PROC;Ampliações a IU de análise de contrato;
/ACCGO/CAK_BADI_SNAPSHT_BL_INT;/ACCGO/CAK_ES_SNAPSHOT_INT;Ampliações a log de aplicação de análise de contrato;
/ACCGO/CAK_BADI_SNAPSHT_UI_INT;/ACCGO/CAK_ES_SNAPSHOT_INT;Ampliações a IU de análise de contrato;
/ACCGO/CAK_BADI_SNPSHT_ADTNDTL;/ACCGO/CAK_ES_SNPSHT_ADDTNDTL;BAdI: detalhes adicionais de instantâneo de contrato;
/ACCGO/CAK_BADI_SUPPRESS_SNP;/ACCGO/CAK_ES_SUPPRESS_SNPSHT;;
/ACCGO/CAK_BADI_SUPPRESSION;/ACCGO/CAK_ES_AMEND_PROC;BAdI: supressão de cenários de modificação;
/ACCGO/CAK_BADI_SUPPRESSION_IN;/ACCGO/CAK_ES_AMEND_PROC_INT;;
/ACCGO/CAK_BADI_TID_DEF;/ACCGO/CAK_ES_AMEND_PROC;BAdI: predefinição de ID de negociante;
/ACCGO/CAK_BI_AUDIT_SEQUENCE;/ACCGO/CAK_ES_CREDIT_SALES_EXT;;
/ACCGO/CAS_BADI_ABD_DOCUMENT;/ACCGO/CMN_ES_CAS_ABD;Definição de BAdI para documento de ABD;
/ACCGO/CAS_BADI_ADDON_TABS_APP;/ACCGO/CAS_ES_APPDOC;Definição de BAdI para adição de abas ao documento de aplica;
/ACCGO/CAS_BADI_APP_GROUP;/ACCGO/CMN_ES_CAS_APPL_DOC;;
/ACCGO/CAS_BADI_APPL_CLS;/ACCGO/CMN_ES_CAS_APPL_DOC;;
/ACCGO/CAS_BADI_APPL_DIST;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_APPL_DOC_BL;/ACCGO/CMN_ES_CAS_APPL_DOC;;
/ACCGO/CAS_BADI_APPL_DOC_UI;/ACCGO/CMN_ES_CAS_APPL_DOC;;
/ACCGO/CAS_BADI_APPL_DPQS_EVAL;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
/ACCGO/CAS_BADI_APPL_RULE;/ACCGO/CMN_ES_CAS_APPL_PROCESS;;
